temperature,package,preservative,sterilization,target
1.8879310344827587,1.2553191489361701,1.778169014084507,1.5092250922509225,1
1.8879310344827587,1.2553191489361701,1.6470588235294117,1.5092250922509225,1
1.8879310344827587,1.2553191489361701,1.6470588235294117,1.5092250922509225,1
1.8836206896551724,1.2446808510638299,1.588235294117647,1.5055350553505535,2
1.8879310344827587,1.2553191489361701,1.6470588235294117,1.5092250922509225,1
1.8879310344827587,1.2553191489361701,1.778169014084507,1.5092250922509225,1
1.8879310344827587,1.6794871794871795,1.778169014084507,1.5092250922509225,1
1.8879310344827587,1.6794871794871795,1.778169014084507,1.5092250922509225,1
1.8879310344827587,1.2553191489361701,1.778169014084507,1.5092250922509225,1
1.8793103448275863,1.6538461538461537,1.7711267605633803,1.5018450184501846,3
1.8879310344827587,1.2553191489361701,1.778169014084507,1.5092250922509225,1
1.8836206896551724,1.6666666666666667,1.7746478873239437,1.5055350553505535,2
1.8836206896551724,1.6666666666666667,1.7746478873239437,1.5055350553505535,2
1.8793103448275863,1.6538461538461537,1.7711267605633803,1.5018450184501846,3
1.8793103448275863,1.6538461538461537,1.7711267605633803,1.5018450184501846,3
1.8879310344827587,1.2553191489361701,1.778169014084507,1.5092250922509225,1
1.7473684210526317,1.6794871794871795,1.778169014084507,1.5092250922509225,1
1.736842105263158,1.2446808510638299,1.6666666666666667,1.5055350553505535,2
1.7473684210526317,1.2553191489361701,1.778169014084507,1.5092250922509225,1
1.8879310344827587,1.2553191489361701,1.778169014084507,1.5092250922509225,1
1.8879310344827587,2.340659340659341,1.778169014084507,1.5092250922509225,1
1.8836206896551724,2.3351648351648353,3.25,1.5055350553505535,2
2.6296296296296298,2.340659340659341,1.778169014084507,1.5092250922509225,1
2.5185185185185186,2.3241758241758244,1.767605633802817,3.189189189189189,4
2.5185185185185186,2.3241758241758244,1.767605633802817,2.6470588235294117,4
1.8879310344827587,1.2553191489361701,1.778169014084507,1.5092250922509225,1
1.8836206896551724,2.3351648351648353,1.7746478873239437,1.5055350553505535,2
1.8836206896551724,1.6666666666666667,1.7746478873239437,1.5055350553505535,2
1.8836206896551724,1.6666666666666667,1.7746478873239437,1.5055350553505535,2
1.8836206896551724,1.6666666666666667,1.7746478873239437,1.5055350553505535,2
1.8879310344827587,1.2553191489361701,1.778169014084507,1.5092250922509225,1
1.8836206896551724,1.6666666666666667,1.7746478873239437,1.5055350553505535,2
1.8836206896551724,1.6666666666666667,1.7746478873239437,1.5055350553505535,2
1.8793103448275863,2.32967032967033,1.7711267605633803,1.5018450184501846,3
1.8879310344827587,1.6794871794871795,1.778169014084507,1.5092250922509225,1
1.8836206896551724,1.6666666666666667,1.7746478873239437,1.5055350553505535,2
1.8879310344827587,1.2553191489361701,1.778169014084507,1.5092250922509225,1
1.8879310344827587,1.6794871794871795,1.778169014084507,1.5092250922509225,1
1.8836206896551724,1.6666666666666667,1.7746478873239437,1.5055350553505535,2
1.8836206896551724,1.6666666666666667,1.7746478873239437,1.5055350553505535,2
1.8879310344827587,2.340659340659341,1.778169014084507,1.5092250922509225,1
1.8879310344827587,2.340659340659341,1.778169014084507,1.5092250922509225,1
1.8879310344827587,2.340659340659341,1.778169014084507,1.5092250922509225,1
1.7473684210526317,2.340659340659341,1.778169014084507,1.5092250922509225,1
1.8879310344827587,1.2553191489361701,1.778169014084507,1.5092250922509225,1
1.8793103448275863,1.6538461538461537,1.7711267605633803,1.5018450184501846,3
1.8793103448275863,2.32967032967033,1.7711267605633803,3.357142857142857,3
1.875,2.3241758241758244,1.767605633802817,3.189189189189189,4
1.875,2.3241758241758244,1.767605633802817,3.189189189189189,4
1.8879310344827587,1.2553191489361701,1.778169014084507,1.5092250922509225,1
1.8793103448275863,1.6538461538461537,1.5294117647058822,1.5018450184501846,3
1.8836206896551724,1.6666666666666667,1.7746478873239437,1.5055350553505535,2
2.6296296296296298,2.340659340659341,1.778169014084507,1.5092250922509225,1
