ML Method,Encoding Method,Metric,Value
DecisionTree,polynomial,Average F1 score,0.5
GaussianNB,polynomial,Average F1 score,0.38
KNN,polynomial,Average F1 score,0.49
LogisticRegression,polynomial,Average F1 score,0.45
MLP,polynomial,Average F1 score,0.43
NeuralNetwork,polynomial,Average F1 score,0.45
RandomForest,polynomial,Average F1 score,0.5
SVM,polynomial,Average F1 score,0.5
AdaBoost_SAMME,polynomial,Average Accuracy,0.54
DecisionTree,polynomial,Average Accuracy,0.55
GaussianNB,polynomial,Average Accuracy,0.36
KNN,polynomial,Average Accuracy,0.54
LogisticRegression,polynomial,Average Accuracy,0.52
MLP,polynomial,Average Accuracy,0.52
NeuralNetwork,polynomial,Average Accuracy,0.52
RandomForest,polynomial,Average Accuracy,0.55
SVM,polynomial,Average Accuracy,0.56
AdaBoost_SAMME,polynomial,Average Precision,0.49
DecisionTree,polynomial,Average Precision,0.5
GaussianNB,polynomial,Average Precision,0.5
KNN,polynomial,Average Precision,0.46
LogisticRegression,polynomial,Average Precision,0.45
MLP,polynomial,Average Precision,0.38
NeuralNetwork,polynomial,Average Precision,0.42
RandomForest,polynomial,Average Precision,0.5
SVM,polynomial,Average Precision,0.48
AdaBoost_SAMME,polynomial,Average Recall,0.54
DecisionTree,polynomial,Average Recall,0.55
GaussianNB,polynomial,Average Recall,0.36
KNN,polynomial,Average Recall,0.54
LogisticRegression,polynomial,Average Recall,0.52
MLP,polynomial,Average Recall,0.52
NeuralNetwork,polynomial,Average Recall,0.52
RandomForest,polynomial,Average Recall,0.55
SVM,polynomial,Average Recall,0.56
AdaBoost_SAMME,polynomial,Average MCC,0.23
DecisionTree,polynomial,Average MCC,0.25
GaussianNB,polynomial,Average MCC,0.2
KNN,polynomial,Average MCC,0.25
LogisticRegression,polynomial,Average MCC,0.18
MLP,polynomial,Average MCC,0.15
NeuralNetwork,polynomial,Average MCC,0.16
RandomForest,polynomial,Average MCC,0.25
SVM,polynomial,Average MCC,0.25
AdaBoost_SAMME,sum,Average F1 score,0.45
DecisionTree,sum,Average F1 score,0.49
GaussianNB,sum,Average F1 score,0.38
KNN,sum,Average F1 score,0.49
LogisticRegression,sum,Average F1 score,0.45
MLP,sum,Average F1 score,0.45
NeuralNetwork,sum,Average F1 score,0.41
RandomForest,sum,Average F1 score,0.51
SVM,sum,Average F1 score,0.51
AdaBoost_SAMME,sum,Average Accuracy,0.52
DecisionTree,sum,Average Accuracy,0.55
GaussianNB,sum,Average Accuracy,0.38
KNN,sum,Average Accuracy,0.53
LogisticRegression,sum,Average Accuracy,0.52
MLP,sum,Average Accuracy,0.53
NeuralNetwork,sum,Average Accuracy,0.52
RandomForest,sum,Average Accuracy,0.56
SVM,sum,Average Accuracy,0.57
AdaBoost_SAMME,sum,Average Precision,0.47
DecisionTree,sum,Average Precision,0.49
GaussianNB,sum,Average Precision,0.52
KNN,sum,Average Precision,0.48
LogisticRegression,sum,Average Precision,0.45
MLP,sum,Average Precision,0.42
NeuralNetwork,sum,Average Precision,0.36
RandomForest,sum,Average Precision,0.51
SVM,sum,Average Precision,0.53
AdaBoost_SAMME,sum,Average Recall,0.52
DecisionTree,sum,Average Recall,0.55
GaussianNB,sum,Average Recall,0.38
KNN,sum,Average Recall,0.53
LogisticRegression,sum,Average Recall,0.52
MLP,sum,Average Recall,0.53
NeuralNetwork,sum,Average Recall,0.52
RandomForest,sum,Average Recall,0.56
SVM,sum,Average Recall,0.57
AdaBoost_SAMME,sum,Average MCC,0.19
DecisionTree,sum,Average MCC,0.24
GaussianNB,sum,Average MCC,0.21
KNN,sum,Average MCC,0.23
LogisticRegression,sum,Average MCC,0.18
MLP,sum,Average MCC,0.2
NeuralNetwork,sum,Average MCC,0.12
RandomForest,sum,Average MCC,0.27
SVM,sum,Average MCC,0.27
